,ID,Address,Suburb,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest_secondary,secondary_school_ranking
10,ID166218892,10 Volga St,HADFIELD,3,h,719000.0,8/10/2016,1.0,4.0,692.0,39.0,-37.7084,144.9412,19961.0,1778.1741195264892,29,False,1683.67,8938.67,509.33,St Thomas More's School,351.8339593220605,not ranked,Pascoe Vale Girls Secondary College,1136.9545870556706,not ranked
11,ID899212867,14 Beenak St,RESERVOIR,3,h,572000.0,23/04/2016,1.0,2.0,41400.0,89.0,-37.7104,145.0257,20009.0,1452.1721037236198,35,False,824.67,1890.33,159.33,St Stephen's School,586.8225441023558,not ranked,Reservoir High School,1367.9404318696918,346
12,ID129949986,1 Dorothy St,PASCOE VALE,3,h,802000.0,27/05/2017,2.0,1.0,450.0,59.0,-37.71872000000001,144.94871,19963.0,1136.8159367788303,25,False,705.33,5479.67,335.0,Pascoe Vale North Primary School,283.24774092729456,not ranked,Pascoe Vale Girls Secondary College,1170.3923041008486,not ranked
13,ID312557707,109 Derby St,PASCOE VALE,4,h,970000.0,16/04/2016,2.0,1.0,535.0,99.0,-37.7282,144.9462,19963.0,1557.2460000020985,25,False,659.0,5219.33,338.33,St Oliver Plunkett's School,485.52760917304334,not ranked,Antonine College,1477.9571390691215,482
14,ID878983242,73 Palmerston St,CARLTON,4,h,1162000.0,27/11/2016,1.0,0.0,121.0,129.0,-37.7967,144.9724,19843.0,1598.4835875746683,5,False,97.67,243.0,33.0,Carlton Primary School,210.61957350807427,not ranked,Academy of Mary Immaculate,800.1989564033653,144
15,ID601386409,23 Bevan Ct,POINT COOK,5,h,660000.0,1/07/2017,2.0,2.0,571.0,8.0,-37.89467,144.72018,19922.0,2112.1607621888893,31,False,1609.33,6840.67,525.67,Point Cook Prep - Year 9 College,498.57026151029163,not ranked,Point Cook Prep - Year 9 College,498.57026151029163,not ranked
16,ID901151292,1 Donal St,MURRUMBEENA,4,h,1400000.0,25/02/2017,2.0,2.0,557.0,64.0,-37.906,145.07399999999996,19918.0,1278.2245708099604,27,False,298.0,735.0,154.0,Hughesdale Primary School,320.1208588008977,221,Sacred Heart Girls' College,1144.0193971731185,93
17,ID477926953,49 Fleetwood Cr,FRANKSTON SOUTH,2,h,910000.0,16/09/2017,1.0,2.0,894.0,59.0,-38.16185,145.10976000000005,19855.0,2543.449117009164,70,False,517.33,2973.0,288.67,Overport Primary School,1514.106548343146,not ranked,Frankston High School,1697.13995397866,87
18,ID979520106,507/325 Collins St,MELBOURNE,2,u,733000.0,24/09/2016,2.0,1.0,0.0,54.0,-37.8166,144.9635,22238.0,358.93746369266404,6,False,97.67,243.0,33.0,South Melbourne Primary School,1669.3173360527096,not ranked,Stott's Colleges,838.6039458023783,not ranked
19,ID407828531,6/14 Firth St,DONCASTER,2,u,400000.0,8/10/2016,1.0,2.0,0.0,54.0,-37.7868,145.1223,20042.0,3609.897608517297,26,False,3081.0,9924.0,906.0,Doncaster Primary School,648.628605592664,214,Doncaster Secondary College,1407.7083144349547,225
20,ID990183661,906/700 Chapel St,SOUTH YARRA,2,u,666000.0,15/07/2017,1.0,1.0,0.0,14.0,-37.83613,144.99661,19959.0,455.44496548398774,12,False,1245.0,3886.0,447.67,Richmond Primary School,761.7818125459584,260,Melbourne High School,137.9714624229348,2
21,ID522042487,34 Park La,MOUNT WAVERLEY,3,h,1586000.0,23/09/2017,1.0,1.0,718.0,64.0,-37.88061,145.12448999999995,19875.0,673.3954784852274,36,False,1471.0,7759.67,779.67,Mount Waverley Primary School,80.25807903944158,111,Avila College,1014.979357577062,102
22,ID830524845,157 Albion St,BRUNSWICK,2,h,770000.0,15/10/2016,1.0,0.0,152.0,109.0,-37.7611,144.966,19967.0,468.0924098109137,17,False,703.67,1502.0,135.67,St Margaret Mary's School,338.65297043136337,483,Sydney Road Community School,1022.8060296223181,447
23,ID790101783,6/22 Powers St,DONVALE,3,t,920000.0,15/07/2017,2.0,2.0,239.0,12.0,-37.77323,145.18029,19900.0,5089.605930770687,35,False,3327.0,11071.67,1069.33,Our Lady of the Pines School,302.653101195817,350,Donvale Christian College,1161.4273730407492,74
24,ID890325771,3 Clive Ct,BALWYN NORTH,4,h,2130000.0,8/10/2016,3.0,2.0,1274.0,49.0,-37.7822,145.0907,19934.0,3841.116971093228,29,False,925.67,4701.33,308.67,Boroondara Park Primary School,842.6007920422352,192,Marcellin College,1086.4591288608651,169
25,ID428361769,3/25 Cathcart St,MAIDSTONE,2,t,642500.0,12/08/2017,2.0,1.0,126.0,4.0,-37.78458,144.88106000000005,20023.0,1954.197662340923,12,False,717.33,1763.0,318.67,Footscray North Primary School,406.91150461828283,235,Maribyrnong Secondary College,846.1393199944127,not ranked
26,ID454450805,6/305 Albion St,BRUNSWICK,1,u,279500.0,15/10/2016,1.0,1.0,0.0,49.0,-37.7597,144.9548,19967.0,545.5336976326918,17,False,703.67,1502.0,135.67,Brunswick North Primary School,384.8869434033959,not ranked,Brunswick Secondary College,1246.777161349439,211
27,ID568252417,3/1085 Malvern Rd,TOORAK,3,u,2205000.0,15/10/2016,2.0,2.0,0.0,5.0,-37.8512,145.0282,19945.0,974.8149984248488,19,False,584.33,2731.67,211.67,Lauriston Girls' School,300.3876934654554,30,Lauriston Girls' School,300.3876934654554,not ranked
28,ID792099758,396 Montague St,ALBERT PARK,2,h,1436000.0,4/03/2017,1.0,0.0,130.0,119.0,-37.8431,144.9565,20043.0,2778.912318385436,0,False,1214.67,5603.67,375.33,Albert Park Primary School,355.0601569591233,306,Albert Park College,824.9800594647096,131
29,ID644540192,3/7 Lilian St,NUNAWADING,3,t,1235000.0,27/05/2017,3.0,2.0,338.0,119.0,-37.82704,145.16801,19899.0,937.8521201108726,32,False,938.33,6892.67,553.33,Blackburn Lake Primary School,179.41968487245273,129,Nunawading Christian College-Secondary,507.9262436884442,not ranked
30,ID159945360,2/172 Cape St,HEIDELBERG,3,h,655000.0,23/04/2016,2.0,2.0,175.0,49.0,-37.7514,145.0689,19935.0,959.9361079732138,30,False,1144.33,6845.67,375.67,Heidelberg Primary School,380.4508151059649,109,Our Lady of Mercy College,736.042724555847,90
31,ID989661470,178 Beaconsfield Pde,NORTHCOTE,3,h,1396500.0,19/11/2016,1.0,1.0,302.0,119.0,-37.7636,144.9864,20015.0,939.4098005181962,24,False,136.33,302.67,42.0,Brunswick East Primary School,593.0395171829773,not ranked,Northcote High School,1210.538263879082,178
32,ID179344726,164 Cecil St,SOUTH MELBOURNE,3,h,2075000.0,27/11/2016,2.0,0.0,141.0,129.0,-37.8333,144.9576,20043.0,1724.669513707165,0,False,1100.67,3636.33,457.33,Galilee Regional Catholic Primary School,401.6693153190481,208,Victorian College Of The Arts Secondary School,845.9979200625661,not ranked
33,ID976054319,3 Kunzea Ct,MOUNT WAVERLEY,3,h,1700000.0,15/07/2017,1.0,2.0,862.0,34.0,-37.87662,145.13153,19875.0,340.98960492888335,36,False,1471.0,7759.67,779.67,Holy Family School,311.54958252750913,not ranked,Avila College,264.6588556704755,102
34,ID724483054,14 Gavin St,JACANA,3,h,605000.0,23/09/2017,1.0,0.0,593.0,59.0,-37.68775,144.90941999999995,20031.0,997.9469944889604,30,False,92.33,260.0,36.67,Broadmeadows Valley Primary School,817.7056518154832,not ranked,Penola Catholic College,779.0798266806063,361
35,ID306135194,111 Chomley St,PRAHRAN,2,h,1305000.0,8/04/2017,1.0,1.0,210.0,14.0,-37.8551,145.0058,19946.0,860.1522942502755,18,False,705.33,5479.67,335.0,Our Lady of Lourdes School,435.7471986959893,67,The King David School,539.7812781356885,27
36,ID877758094,6 Kittyhawk St,AIRPORT WEST,4,h,773000.0,17/09/2016,3.0,4.0,531.0,39.0,-37.7263,144.8679,20033.0,4811.790571908773,26,False,1202.0,5034.33,333.0,Penleigh &amp; Essendon Grammar School,686.0636808406366,126,Penleigh &amp; Essendon Grammar School,686.0636808406366,not ranked
37,ID409920509,69 Malin St,KEW,5,h,3280000.0,27/11/2016,5.0,2.0,480.0,40.0,-37.8117,145.0449,19903.0,1193.792087594893,18,False,271.67,771.67,74.0,Carey Baptist Grammar School,428.55829880046485,23,Carey Baptist Grammar School,428.55829880046485,68
38,ID881131210,62 Mirams St,ASCOT VALE,3,h,890000.0,16/07/2016,1.0,1.0,242.0,99.0,-37.7765,144.9114,20028.0,815.8114377776998,-1,False,2489.67,11817.33,1268.67,St Mary's School,296.77267353208856,159,Kensington Community High School,1780.0685384474557,not ranked
39,ID823984563,1/60 McIlwrick St,WINDSOR,2,u,611000.0,4/03/2017,1.0,1.0,598.0,79.0,-37.8564,144.9971,19957.0,446.82375009039475,17,False,1064.67,4200.67,432.67,Windsor Primary School,159.28507044736494,not ranked,Presentation College Windsor,250.78644809553364,not ranked
40,ID852782731,201/77 Abinger St,RICHMOND,1,u,400000.0,23/09/2017,1.0,1.0,4425.0,7.0,-37.82009,145.0038,19906.0,894.7181985867477,12,True,885.0,1901.0,227.67,Trinity Catholic School,612.5210199251928,not ranked,Richmond High School,311.13417564793747,not ranked
41,ID323781577,6 McNeilage St,SPOTSWOOD,2,h,832500.0,7/05/2016,1.0,2.0,562.0,69.0,-37.8333,144.8868,19995.0,305.8689658999998,14,False,1100.67,3636.33,457.33,Spotswood Primary School,546.6309149803018,not ranked,Bayside P-12 College,2719.7215390277142,243
42,ID437047670,2/25 Stanlake St,FOOTSCRAY,3,t,699000.0,24/09/2016,1.0,1.0,125.0,19.0,-37.7922,144.8831,20023.0,1087.3679266949305,12,False,268.33,736.0,128.33,St John's School,444.5691135064678,489,Footscray City College,968.1882651419021,166
43,ID222435859,102/159 Beach St,PORT MELBOURNE,2,u,950000.0,22/04/2017,2.0,1.0,98.0,14.0,-37.8392,144.9257,22180.0,3273.0898428795026,0,False,705.33,5479.67,335.0,Port Melbourne Primary School,833.6317628330739,325,Albert Park College,2003.5015581792081,131
44,ID844424982,44 Greig St,ALBERT PARK,2,h,1750000.0,27/11/2016,1.0,1.0,162.0,139.0,-37.8416,144.9488,20043.0,2610.4957109794072,0,False,1202.0,5034.33,333.0,Albert Park Primary School,350.07367284299517,306,Albert Park College,377.110540109943,131
45,ID763418795,3/26 Ross St,ELSTERNWICK,3,h,800000.0,10/12/2016,2.0,2.0,331.0,9.0,-37.8847,144.9992,19954.0,149.28680566430486,23,False,1566.67,8895.33,491.0,Sholem Aleichem College,320.9357813367836,34,Adass Israel School,796.1635606518267,534
46,ID627953224,66 Springvale Rd,NUNAWADING,5,h,1060000.0,17/06/2017,3.0,2.0,766.0,49.0,-37.81113,145.17681000000005,19899.0,1067.933487361464,32,False,938.33,6892.67,553.33,Whitehorse Primary School,955.3629922497612,314,Mullauna Secondary College,1256.1086182732538,not ranked
47,ID762188169,11 Somers St,BENTLEIGH,4,h,1450000.0,12/11/2016,1.0,1.0,567.0,14.0,-37.9149,145.0252,19939.0,1073.285240882906,33,False,925.67,4701.33,308.67,Bentleigh West Primary School,647.626460755595,31,Brighton Secondary College,792.1477317129553,213
48,ID128183941,2 Celia St,GLEN IRIS,6,h,2250000.0,10/09/2016,3.0,2.0,650.0,79.0,-37.8534,145.0785,19849.0,270.2746741535896,29,False,1923.67,8979.33,620.33,Hartwell Primary School,793.4315502734186,78,Siena College Ltd,2226.186309826182,not ranked
49,ID455433519,4 Freyer St,WILLIAMSTOWN,4,h,1325000.0,3/09/2016,2.0,1.0,452.0,23.0,-37.855,144.8905,19993.0,288.58509488444884,20,False,1002.67,4068.0,328.33,Williamstown North Primary School,149.29022157989775,185,Bayside P-12 College,553.3522666696676,243
50,ID561967532,16 Shoppers La,TAYLORS LAKES,3,h,427500.0,1/07/2017,2.0,2.0,189.0,17.0,-37.70308,144.79953999999995,22244.0,2244.058983791019,30,False,502.67,1662.67,118.67,Taylors Lakes Primary School,890.8559020654861,not ranked,Catholic Regional College North Keilor,598.7302043127667,not ranked
51,ID751326550,38 Lily St,SEDDON,3,h,1325000.0,4/06/2016,3.0,2.0,227.0,4.0,-37.8033,144.8897,20024.0,179.25075885190506,11,False,824.67,1890.33,159.33,Footscray Primary School,606.4518395549719,not ranked,Gilmore College For Girls,653.3447418573827,387
52,ID830768968,13/378 Dandenong Rd,CAULFIELD NORTH,2,u,722000.0,17/09/2016,2.0,2.0,0.0,8.0,-37.8607,145.0116,19945.0,827.3976117322871,19,False,1540.67,6062.33,477.67,The King David School,292.01997587529326,140,The King David School,292.01997587529326,27
53,ID134257618,117 Brees Rd,KEILOR EAST,3,h,976000.0,12/11/2016,3.0,2.0,605.0,39.0,-37.7459,144.8788,22253.0,3478.722020499574,18,False,555.67,1129.0,160.67,St John Bosco's School,934.2857178618426,not ranked,St Bernard's College,548.7211832374926,130
54,ID922481571,4 Devon St,PRESTON,3,h,1045000.0,8/04/2017,1.0,2.0,513.0,84.0,-37.7505,144.991,20014.0,837.153119059945,26,False,705.33,5479.67,335.0,Bell Primary School,313.76498050924425,not ranked,St John's College Preston,771.808340119347,not ranked
55,ID413560133,2/166 Mitchell St,MAIDSTONE,4,t,821000.0,29/07/2017,3.0,2.0,294.0,5.0,-37.78133,144.86768,20022.0,2037.925853277429,15,False,717.33,1763.0,318.67,Christ the King Primary School,861.4470478036665,not ranked,Caroline Chisholm Catholic College,1626.7016228581801,not ranked
56,ID212041013,308/15 Pickles St,PORT MELBOURNE,3,u,800000.0,24/06/2017,1.0,2.0,0.0,11.0,-37.84426,144.94415,20043.0,2978.4258575863723,0,False,705.33,5479.67,335.0,Albert Park Primary School,802.2545760766612,306,Albert Park College,288.5796820337578,131
57,ID412406738,6/696 Orrong Rd,TOORAK,2,u,750000.0,20/05/2017,1.0,1.0,0.0,49.0,-37.8432,145.0137,19946.0,843.2933759641298,18,False,647.0,2861.33,222.67,Toorak Primary School,393.2746137089141,83,Loreto Mandeville Hall,565.5966999624193,15
58,ID573683286,119 Park St,SOUTH MELBOURNE,2,u,600000.0,12/11/2016,1.0,1.0,0.0,119.0,-37.834,144.9665,22238.0,1747.5839536560084,6,False,1100.67,3636.33,457.33,South Melbourne Park Primary School,800.9484372377666,not ranked,MacRobertson Girls High School,516.0430556126404,not ranked
59,ID338453610,3/40 Magnolia Rd,IVANHOE,3,u,880000.0,8/07/2017,2.0,1.0,252.0,59.0,-37.75842,145.05075,19934.0,639.9869380067444,29,False,92.33,260.0,36.67,Ivanhoe Girls' Grammar School,841.2286273807546,38,Ivanhoe Girls' Grammar School,841.2286273807546,49
60,ID506703033,5/205 Centre Rd,BENTLEIGH,2,u,636000.0,3/09/2016,1.0,2.0,202.0,45.0,-37.9165,145.0259,19939.0,979.7765277660104,33,False,925.67,4701.33,308.67,Bentleigh West Primary School,461.0602029120661,31,Brighton Secondary College,721.2704966080739,213
61,ID230988697,67 The Parade,ASCOT VALE,2,h,1035000.0,22/07/2017,1.0,1.0,319.0,119.0,-37.77266,144.9131,20039.0,821.9202804926321,12,False,2494.67,11307.0,1410.0,St Mary's School,207.5891254259836,159,Lowther Hall Anglican Grammar School,1429.0624071562418,not ranked
62,ID802172943,65a Greenhill Rd,BAYSWATER NORTH,3,u,700000.0,24/06/2017,2.0,2.0,535.0,49.0,-37.82481,145.26519,19871.0,1855.9709431810286,42,False,97.67,233.33,26.33,Tinternvale Primary School,713.0049855092499,322,Tintern Grammar,1276.4209031867995,100
63,ID247409045,42 View St,MONT ALBERT,4,h,2200000.0,13/08/2016,2.0,2.0,931.0,89.0,-37.8226,145.1103,19896.0,548.3560853718101,29,False,278.0,489.0,65.0,Our Lady of Perpetual Succour School,835.5958965636858,178,Kingswood College,1348.9164788739256,106
64,ID998697694,2/377 Dandenong Rd,ARMADALE,2,u,872000.0,25/02/2017,1.0,1.0,1194.0,66.0,-37.8604,145.0147,19945.0,598.6415743239193,19,False,2494.67,11307.0,1410.0,The King David School,441.7511451640807,140,The King David School,441.7511451640807,27
65,ID838474999,3 Crefden St,MAIDSTONE,3,t,615000.0,3/09/2016,2.0,2.0,165.0,12.0,-37.7773,144.8725,20022.0,2584.0491458825077,15,False,610.0,1743.67,228.0,Christ the King Primary School,1475.567446420433,not ranked,Maribyrnong Secondary College,1406.582558186781,not ranked
66,ID804068641,71 Palmer St,COLLINGWOOD,2,h,888000.0,20/05/2017,1.0,0.0,112.0,119.0,-37.8001,144.9901,19975.0,396.85329155584975,14,False,1097.67,5916.0,553.33,Collingwood College,323.04259293761595,not ranked,Collingwood College,323.04259293761595,359
67,ID619680449,5 Grainger Ct,MULGRAVE,3,h,1001000.0,29/07/2017,1.0,2.0,727.0,49.0,-37.9128,145.16152,19914.0,3485.3194713277126,36,False,394.33,1153.67,165.33,Good Shepherd School,655.3485679938286,49,Mazenod College,486.3339857775188,82
68,ID804416031,8b William St,MOORABBIN,4,h,1140000.0,4/06/2016,2.0,1.0,318.0,4.0,-37.9443,145.0448,19872.0,526.2343723185759,39,False,71.0,261.0,20.0,Moorabbin Primary School,523.30161204202,237,Our Lady of the Sacred Heart College,2111.464657579171,not ranked
69,ID539895560,61 Henry St,NORTHCOTE,4,h,1550000.0,23/09/2017,2.0,1.0,344.0,119.0,-37.77171,144.99565,20016.0,207.94228332344605,22,False,142.0,344.67,39.33,Northcote Primary School,108.3612526794708,285,Northcote High School,589.64339327546,178
70,ID298205258,20 Victoria St,BRIGHTON,4,h,3775000.0,3/12/2016,3.0,2.0,745.0,119.0,-37.9139,144.9878,19951.0,758.9434188047381,28,False,2744.33,10289.67,780.0,Brighton Grammar School,591.0200753449304,70,Brighton Grammar School,591.0200753449304,46
71,ID560731350,2/54 Pender St,THORNBURY,1,u,365000.0,10/12/2016,1.0,1.0,0.0,49.0,-37.7544,145.0092,20014.0,938.2397949245081,26,False,2403.67,5212.33,586.67,Penders Grove Primary School,446.41070159525395,not ranked,St John's College Preston,1217.088461492078,not ranked
72,ID158831232,171 Essex St,WEST FOOTSCRAY,3,h,879000.0,23/09/2017,1.0,2.0,377.0,69.0,-37.79285,144.86969,20022.0,927.2096978709156,15,False,298.0,735.0,154.0,Footscray West Primary School,539.5202841932495,399,Caroline Chisholm Catholic College,1890.9521883725936,not ranked
73,ID854919221,9/10 Brook St,HAWTHORN,2,u,580000.0,8/04/2017,1.0,1.0,1063.0,59.0,-37.8159,145.0194,19905.0,727.8814276049761,14,False,1253.67,7401.33,484.67,Hawthorn West Primary School,477.4195682443748,125,Melbourne Girls College,859.8662514075955,not ranked
74,ID745207127,12 Walpa Ct,WESTMEADOWS,3,h,616000.0,9/09/2017,1.0,3.0,681.0,18.0,-37.67332,144.9022,22254.0,1877.9184340731574,29,False,98.67,190.67,19.0,Westmeadows Primary School,628.8859469920616,not ranked,Hume Central Secondary College,1404.2212908697857,not ranked
75,ID420297383,15 Lynden Gr,MOUNT WAVERLEY,4,h,1335000.0,16/09/2017,1.0,3.0,731.0,49.0,-37.86118,145.11506,19840.0,1407.3464561278681,34,False,1471.0,7759.67,779.67,Essex Heights Primary School,207.83227285617755,239,Ashwood High School,1096.2945674916816,241
76,ID320554887,396 Waterdale Rd,HEIDELBERG HEIGHTS,3,h,697500.0,12/08/2017,1.0,1.0,430.0,89.0,-37.74962,145.04658,19935.0,1493.1701606987754,30,False,1173.67,8523.67,974.67,St Pius X School,301.1944707983081,not ranked,Ivanhoe Girls' Grammar School,1742.4907481871453,49
77,ID437927873,49 Garfield St,RICHMOND,2,t,950000.0,6/05/2017,1.0,1.0,113.0,7.0,-37.8119,144.9947,19977.0,255.66927329991202,11,False,885.0,1901.0,227.67,Richmond West Primary School,212.60280241408458,452,Lynall Hall Community School,837.401161657452,559
78,ID623155958,5 Nuragi Ct,WERRIBEE,4,h,635000.0,26/08/2017,2.0,1.0,662.0,39.0,-37.89327,144.64789,19921.0,1346.298442129417,35,False,98.67,190.67,19.0,Manorvale Primary School,362.05127069467,not ranked,Wyndham Central Secondary College,712.2663372137469,not ranked
79,ID154731592,99 Dundas St,PRESTON,3,h,1040000.0,24/09/2016,2.0,1.0,313.0,69.0,-37.7531,145.01,20014.0,1029.0462502246708,26,True,659.0,5219.33,338.33,Penders Grove Primary School,407.5747939152696,not ranked,St John's College Preston,1185.895775145901,not ranked
80,ID421105475,42 Cary St,SUNSHINE NORTH,4,h,640000.0,3/09/2017,1.0,1.0,123.0,44.0,-37.76899,144.82525,20004.0,965.516362244895,22,False,1412.0,6364.0,699.33,Albion North Primary School,789.0029318776387,not ranked,Braybrook College,2215.7901387960706,139
81,ID300255737,5 Flourish Wy,WERRIBEE,4,h,463000.0,22/07/2017,2.0,2.0,358.0,7.0,-37.91807,144.63816,19921.0,2897.44011993739,35,False,98.67,190.67,19.0,Thomas Chirnside Primary School,1654.9075101993851,not ranked,MacKillop Catholic Regional College,2551.0626863589846,not ranked
82,ID659825756,112 Newry St,CARLTON NORTH,4,h,1425000.0,4/03/2017,3.0,0.0,122.0,129.0,-37.7893,144.9696,19970.0,1769.3186919764319,12,False,3767.67,18925.0,2042.33,Carlton North Primary School,359.8563258850424,218,Princes Hill Secondary College,762.3794982524317,not ranked
83,ID852081373,39 Farm Rd,CHELTENHAM,3,h,910000.0,16/09/2017,1.0,2.0,541.0,59.0,-37.96306,145.0803,19866.0,2294.2233827284317,42,False,1288.33,4242.33,480.0,Kingston Heath Primary School,112.4206654358689,304,Cheltenham Secondary College,1453.3195086356086,285
84,ID370573089,3/53 Kangaroo Rd,MURRUMBEENA,2,u,670000.0,3/06/2017,1.0,2.0,0.0,18.0,-37.89814000000001,145.07455,19918.0,452.8019147580734,27,False,298.0,735.0,154.0,Oakleigh Grammar,767.7210877938309,217,Oakleigh Grammar,767.7210877938309,270
85,ID119072434,314 Liberty Pde,HEIDELBERG WEST,3,h,580000.0,27/05/2017,1.0,2.0,429.0,69.0,-37.73704,145.03697,19936.0,2648.8123758662036,33,False,1173.67,8523.67,974.67,East Preston Islamic College,349.82347105175677,not ranked,East Preston Islamic College,349.82347105175677,491
86,ID596474281,12/700 Queensberry St,NORTH MELBOURNE,2,u,606000.0,16/04/2016,1.0,2.0,0.0,19.0,-37.8022,144.9439,22239.0,503.4701442479136,7,False,71.0,261.0,20.0,North Melbourne Primary School,707.1657443937131,182,Simonds Catholic College,894.6733277050685,262
87,ID456545616,145 Shaftesbury Pde,THORNBURY,3,h,1195000.0,8/04/2017,1.0,2.0,463.0,89.0,-37.7593,144.9885,20015.0,923.3568176305231,24,False,2532.33,5455.0,713.0,Thornbury Primary School,844.3864442210267,not ranked,St John's College Preston,1616.5429704867734,not ranked
88,ID761942899,2/8 Rudyard St,BENTLEIGH EAST,3,t,700000.0,24/09/2016,2.0,2.0,194.0,11.0,-37.9272,145.0801,19916.0,2658.515924283263,31,False,925.67,4701.33,308.67,St Peter's School,930.0934995295231,345,St James' College,771.2592333276625,not ranked
89,ID496890451,28 Bruce St,TOORAK,3,h,2250000.0,28/05/2016,3.0,2.0,575.0,89.0,-37.8375,145.0092,19947.0,1003.9999260218444,16,False,584.33,2731.67,211.67,Toorak Primary School,845.6383656119357,83,St Catherine's School,1064.7109036976585,35
90,ID831788913,3/16 Elphin St,IVANHOE,1,u,420000.0,16/04/2016,1.0,1.0,55.0,49.0,-37.7772,145.0414,19932.0,358.0169606956427,26,False,87.33,252.0,37.0,Alphington Grammar School,583.6218002523997,123,Alphington Grammar School,583.6218002523997,86
91,ID367003860,4/6 Turner St,MOONEE PONDS,2,u,600000.0,24/09/2016,1.0,1.0,166.0,54.0,-37.7624,144.9365,20038.0,1569.63785404584,14,False,278.0,489.0,65.0,Moonee Ponds Primary School,326.4982732632247,225,Brunswick Secondary College,1883.6592114449656,211
92,ID459603923,182 Buckingham St,RICHMOND,3,t,1255000.0,17/06/2017,2.0,1.0,124.0,11.0,-37.8147,145.00852,19906.0,1434.0738573971246,12,False,885.0,1901.0,227.67,Yarra Primary School,91.5342379630968,475,Lynall Hall Community School,585.208587298068,559
93,ID918675333,217 Victoria St,BRUNSWICK,3,h,1210000.0,6/05/2017,1.0,0.0,282.0,119.0,-37.7674,144.966,19968.0,565.4884870826327,15,True,817.67,1779.67,181.0,St Margaret Mary's School,995.9100824316168,483,Sydney Road Community School,443.39833684674204,447
94,ID366343118,16 Muriel Ct,RESERVOIR,3,h,825000.0,1/07/2017,2.0,5.0,537.0,59.0,-37.70047,145.02881000000005,20008.0,1615.924526190256,37,False,885.0,1901.0,227.67,Reservoir Views Primary School,776.5176283304766,not ranked,William Ruthven Secondary College,2331.9776655955625,not ranked
